Unnamed: 0,message,label
1871,The ravens are up 20-10 over the browns with under 4 mins to go. It isn't looking good for the texans.,0
820,"Love you all tonight. If the holiday makes u feel  or lonely & u need someone to talk to, tweet me. I'll open my inbox for you. <3",0
1840,"When you living with someone that is manic depressed, life stops   ???????”",0
3284,I want to disappear ,1
793,Hopelessness is the enemy of .  prevails where  persists. â€” Bryan Stevenson,0
1960,â™?Drone Bomb Me - ANOHNI,0
1524,"That she feels good, feels no pain, is happy. If there isn't, I'll probably never see her again. Unless there's some other side, like hell. How she may get to that side, I don't know how that would be. She was too much of a saint. ",1
1430,Beware of little expenses. A small leak will sink a great ship. -Benjamin Franklin,0
1911,I want a friendship group like in Friends 😧,0
2305,"@PressSec Psalm 128:1\nA Song of Ascents. Blessed is every one who #fears the #Lord, Who #walks in His #ways.",0
2097,"If someone has the courage & trust to share their struggles of  or  ideation with you, PLEASE, please be there to listen & support  them! You may be the only person with whom they've been able to open up to. It's not easy to reach out!",0
293,You know you chose a good husband when he prepares lunch for you early in the morning 💞 #tears,0
2551,"You look tired, and a bit too quiet.... is it the silence of hopelessness ?   ",1
530,I feel so fucking alone tonight I just don't even care about living right now.,1
533,America...just a nation of two hundred million used car salesmen with all the money we need to buy guns and no qualm,0
1580,@FuthieMasina Lol nah u subscrib 4 R60/pm. N pay R3 each day thus anada R90/pm. Lol stream n use de app using ur data. #smiles,0
1085,OH YEON SO's kdrama is so nice and i am still in awe that she and dara are friends now.. hope they can have kdrama soon!,0
1198,"oh no  Benny’s “my love, my life” came on shuffle and I’m   pic.twitter.com/gg7pWVFvat",0
2444,@russ_kent @IsabelOakeshott Inexplicably well paid talking head who lectures in impenetrable consultu-speak #dire,0
2036,"For 2016 - Up my  game,  move out of  (since London is too expensive), beat  and maybe settle down with someone :)",0
3201,Quarelling and arguing with parents literally every singld day,1
3034,??’•it will be ok??’•    pic.twitter.com/6zCi1PJhdB,0
3030,Galaxy Global Eatery is terrific! Like free stuff? Lyft gets you here FREE with code OATH,0
2379,fuck that guy who made me feel like shit again.  ????,1
617,"Sigh ???” another year coming to a close. For the first time in a while, I want to be alone.  (1/2)",1
1176,"“I am very sad and I feel more miserable than I can say, and I do not know how far I’ve come. I do not know what to do or what to think.”",1
2299,You know things are bad when your emotions slide because WordPress blocks one of your blog posts.,0
498,"Happy New Year!! Here's to 2017, believe me, it can't go any worse than 2016 did. Yay for 2017! Lol.  ",0
700,"@chrisdrunkpoets @MusicHourUK 💞🛸✨ Love your new music Chris!!!🌟🎯🍎It's otherworldly, like you!! #awesomeness 🦄🧜🏽‍♂️🧜🏽‍♀️🧙🏽‍♀️🧙🏽‍♂️✨🔆",0
2536,I hate having/being crushes/in love ugh,1
2113,@keval_91 @ChopdUK Sort it out @ChopdUK,0
2557,Definition of utter : Using PowerPoint on a .  It's like Microsoft did it on purpose...,0
1148,I LOVE THIS LIFESTYLE!!! SE4L #SEGC #sober,0
366,?????????? ?????? ?????????? ???????? ?? ??????  ???? ?????????? ???????? ???????? ??????   ???????? ?????? ???????? ?????? ???????? ????  ?????? ?????? ???? ???? ???????? ??????,0
382,??’•you are loved ??’•    pic.twitter.com/iV1owHaj1Q,0
1,I get to spend New Year's home again alone and lonely. ???•,1
2977,"Difficulties are meant to rouse, not discourage. The human spirit is to grow strong by conflict. William Ellery Channing",0
1019,How did I become a virus? Awareness listening the great music by,0
2631,Just the thought of going back to school  brings tears to me eyes,0
1239,Frick! @dalebrisby is hilarious! Lovin his portrayal of a rancher picking up feed bags &amp; climbing over the panel! 😂😂 #peedalittle #laugh,0
336,I hella should've stayed natural in college,0
484,Well after inviting everyone... No one is coming....,1
3165,man im really one of those bitches who says they’re broke all the time but will spend 40+ dollars on alcohol every weekend sorry Im just,0
1460,Today just isn't a good day for me. :(,1
2120,This last year has been the most mentally/emotionally draining and exhausting year ever. I’m just not the same person I used to be since he left me??,1
1868,Well done to all the year 6's at @HarlescottJrSch in their leavers concert today you were #amazing #confident #funny #notadryeyeinthehouse 😍,0
1979,Fuck fuck fuck fuck    pic.twitter.com/1euSw97Anz,1
1492,Have to be skinnier.  Have to be prettier.  Have to be smarter.  Have to be anything  But myself.,1
713,What can you say about @rogerfederer #awestruck.....,0
902,6 Day Cooldown on CSGO competitive only cause i kicked an AFK! Thats dumb ...,0
1515,My heart goes out to Steve in Corrie. Know where yr coming from mate,0
213,"Whatever you want to do, if you want to be #great at it, you have to #love it and be able to make sacrifices for it. #Quotes for you",0
1815,I'm sad/depressed again & it's my fault for not changing it.,1
1869,"With two nurses in the family, dinner conversations consists of sad stories, bodily fluids and everything in between  ",0
2336,"God knows why we're  Only he can set us free ""For in much wisdom is much grief and he that increaseth knowledge increaseth sorrow""",0
2033,Hi // I'll be gone for a while // stay strong    pic.twitter.com/vcnKc6gsDC,1
1858,May have to cut down on the Mexican foods.,0
3161,A word that not many people understand. A word that many people fear.  A word that should be spoken about more freely. A word that shouldn't hold any shame.  A word with no jokey come backs.  DEPRESSION it's not a swear word.  It's ok not to be ok,0
1938,If i stay actually just changed me,1
2319,Coming up on snap chat so add me asap MATEO_BKNY #snapchat,0
2607,"Wajir county is becoming more of fucked  up crib since August 2017.   and nightmare   Economical shutdown,blackout,tribalism, inter-clan clashes, Impunity,staged managed Africa cinema,influx of non locals and many problems.  #",0
2625,"In Quebec City, family went to a chocolate store, and spent way to long in there. I wanted to leave because the girl behind the cash register was so damn beautiful. The longer I spent in there the more painful it was.  ",0
1518,"There's no better way to relax than putting on a face mask, having a bath while drinking tea and listening to John Mayer #bliss",0
1489,????? ?? ???? ?? ?? ??? ????? ??? ??..!,0
1304,@ChrisCuomo Same as the bully in second grade. Classic.,0
2067,It takes less #muscles to #laugh than to #frown - stops facial &amp; mental aging too! Laugh strongly &amp; often to #lead effectively! #leadership,0
1926,@Creative_Voices @ScotParl Happy to help :-),0
1669,#Eclipe2017 An eclipse carries a large jolt of #energy. This one cut a wide swath across the United States. #Change #excitement #transition,0
3135,@samasaurus6 happy I got it recently on the summer sales :D,0
898,@AishaRuby85 thank you very much. I keep gettin the excited kid on ur bday feeling 😊,0
2264,Why do i always get treated like this...ugh!!!,1
3202,Things are not going well with my family,1
1015,"Came home from vaca seeing a run over kitten in front of our house, which died hours later after incurring severe loss of blood. ",1
3220,I am having so much digestive problem that I vomit a lot,1
2933,"Do you ever fall asleep before you set your alarm, but then the Lord wakes you up on time anyways 🙌🏻 #WontHeDoIt",0
752,You was born with a purpose to help make the world a better place not to sit and do nothing!!! - @Balrsclub #Motivation #LoveIsland #fear ✨,0
1892,Weirdly without Monday football night,0
1897,Christmas and gabe is not with me ???? what is life rn.,0
1843,137  ???????????????????????????????????????????????????????????w   ????????????????????????????????????????????????ww   ???????????????????????????????????????????????????????????   ???????????????????????????????????????????????????????????????w   ???????????????????????   ??????????????????w,0
10,Portable Transparent Tobacco Rolling Machine  pic.twitter.com/k7Sb0Q11fW,0
675,is more harmful than you may think!  pic.twitter.com/T4n5L9kdYz,0
1792,"Personally, I do not have the ""energy"" to celebrate Christmas -___-  ",1
1678,????When your days are grey and he gets the best of you.....even when you don't want to. ????,1
921,Might as well just sleep  ???¥,1
1337,"This can't be right, being back at work so soon ",0
397,Rabbit races ... 😊 .. simply perfect! \n\nSo glad @LeBatardShow and @Stugotz790 are back!,0
1553,Having holiday for the first time in 4/5 years â€¦ and i hate it.,0
1683,properly n also i am super  i jus wanna deactivate again,0
2520,"I hate Twitter. Anyone  or  today, here are my . pic.twitter.com/q6kKhO7MCR",0
3077,Whether my glass is half empty or its half full. I'm just grateful I even have a glass and that there's something in it.\n #optimism 🤔,0
1543,??’•you are supported ??’•    pic.twitter.com/4YrE8XNRtQ,0
1169,This is ANOHNI. She has released  an album that transcends space and time. The best album ever.  pic.twitter.com/th6CRB1sFR,0
1709,"The worst kind of grief, screaming crying, is when it's for no reason other than voices in your head and chemicals in your brain ",1
